0.000000000000000000e+00,3.660527562610187857e+01
1.400140014001400104e-03,3.660710675320615337e+01
2.800280028002800209e-03,3.661166687196376301e+01
4.200420042004200313e-03,3.661667609739396312e+01
5.600560056005600418e-03,3.661975703633147816e+01
7.000700070007000522e-03,3.661967836041604585e+01
8.400840084008400627e-03,3.661689282836759674e+01
9.800980098009800731e-03,3.661312233840909158e+01
1.120112011201120084e-02,3.661030922584550495e+01
1.260126012601260094e-02,3.660958080872539711e+01
1.400140014001400104e-02,3.661079081260464818e+01
1.540154015401540115e-02,3.661280480620046518e+01
1.680168016801680125e-02,3.661426124891550415e+01
1.820182018201819962e-02,3.661432246319279216e+01
1.960196019601960146e-02,3.661301849920549500e+01
2.100210021002100330e-02,3.661107695214298730e+01
2.240224022402240167e-02,3.660942419419376392e+01
2.380238023802380004e-02,3.660867834590459324e+01
2.520252025202520188e-02,3.660889294763504154e+01
2.660266026602660372e-02,3.660962880989280421e+01
2.800280028002800209e-02,3.661025163008503114e+01
2.940294029402940046e-02,3.661026548190479701e+01
3.080308030803080230e-02,3.660951779180933130e+01
3.220322032203220414e-02,3.660820884972442002e+01
3.360336033603360251e-02,3.660674336926017247e+01
3.500350035003500088e-02,3.660552291956913251e+01
3.640364036403639925e-02,3.660478021054039033e+01
3.780378037803780455e-02,3.660451450508190874e+01
3.920392039203920292e-02,3.660453186788917890e+01
4.060406040604060129e-02,3.660455149710771394e+01
4.200420042004200660e-02,3.660432340974782761e+01
4.340434043404340497e-02,3.660371191399055135e+01
4.480448044804480334e-02,3.660272286416025622e+01
4.620462046204620171e-02,3.660147780720713229e+01
4.760476047604760008e-02,3.660015538860352535e+01
4.900490049004900539e-02,3.659892612810268986e+01
5.040504050405040376e-02,3.659790235719891882e+01
5.180518051805180213e-02,3.659711508187993445e+01
5.320532053205320744e-02,3.659651861800124806e+01
5.460546054605460581e-02,3.659601561933286007e+01
5.600560056005600418e-02,3.659549121410726968e+01
5.740574057405740255e-02,3.659484523606730733e+01
5.880588058805880092e-02,3.659401469247501382e+01
6.020602060206020623e-02,3.659298297505664976e+01
6.160616061606160460e-02,3.659177641287648441e+01
6.300630063006300297e-02,3.659045163957820535e+01
6.440644064406440827e-02,3.658907855053608671e+01
6.580658065806579970e-02,3.658772349620813458e+01
6.720672067206720501e-02,3.658643622913605498e+01
6.860686068606861032e-02,3.658524252310746760e+01
7.000700070007000175e-02,3.658414278796210084e+01
7.140714071407140706e-02,3.658311574373496455e+01
7.280728072807279849e-02,3.658212545641020341e+01
7.420742074207420380e-02,3.658112978879020716e+01
7.560756075607560911e-02,3.658008849333577928e+01
7.700770077007700054e-02,3.657896962455550494e+01
7.840784078407840585e-02,3.657775352214864029e+01
7.980798079807981116e-02,3.657643418012221304e+01
8.120812081208120259e-02,3.657501827817768003e+01
8.260826082608260790e-02,3.657352246016313302e+01
8.400840084008401321e-02,3.657196958972359369e+01
8.540854085408540464e-02,3.657038471406364977e+01
8.680868086808680995e-02,3.656879135910614309e+01
8.820882088208820138e-02,3.656720860620326619e+01
8.960896089608960668e-02,3.656564920301966737e+01
9.100910091009101199e-02,3.656411877297681912e+01
9.240924092409240342e-02,3.656261603221096834e+01
9.380938093809380873e-02,3.656113381322724365e+01
9.520952095209520016e-02,3.655966063374166453e+01
9.660966096609660547e-02,3.655818253373656290e+01
9.800980098009801078e-02,3.655668492487285448e+01
9.940994099409940221e-02,3.655515424311546724e+01
1.008100810081008075e-01,3.655357925637446925e+01
1.022102210221022128e-01,3.655195194392907609e+01
1.036103610361036043e-01,3.655026792518744116e+01
1.050105010501050096e-01,3.654852646623886869e+01
1.064106410641064149e-01,3.654673013039840868e+01
1.078107810781078063e-01,3.654488416247777849e+01
1.092109210921092116e-01,3.654299570651092921e+01
1.106110611061106030e-01,3.654107295503035857e+01
1.120112011201120084e-01,3.653912431736721089e+01
1.134113411341134137e-01,3.653715767773878298e+01
1.148114811481148051e-01,3.653517979392476889e+01
1.162116211621162104e-01,3.653319586661152840e+01
1.176117611761176018e-01,3.653120929000803585e+01
1.190119011901190071e-01,3.652922157755241273e+01
1.204120412041204125e-01,3.652723244332872810e+01
1.218121812181218039e-01,3.652524001058675651e+01
1.232123212321232092e-01,3.652324111346839430e+01
1.246124612461246145e-01,3.652123165634879598e+01
1.260126012601260059e-01,3.651920699652431779e+01
1.274127412741274112e-01,3.651716231964566362e+01
1.288128812881288165e-01,3.651509298256633684e+01
1.302130213021302219e-01,3.651299480447332257e+01
1.316131613161315994e-01,3.651086429364750785e+01
1.330133013301330047e-01,3.650869880346938601e+01
1.344134413441344100e-01,3.650649661692683878e+01
1.358135813581358153e-01,3.650425696364049344e+01
1.372137213721372206e-01,3.650197997712635356e+01
